iter	Passed	Remaining
0	0	38
1	0	36
2	1	34
3	1	31
4	1	31
5	1	30
6	2	30
7	2	30
8	3	30
9	3	30
10	3	30
11	4	29
12	4	29
13	4	29
14	5	28
15	5	28
16	5	27
17	6	27
18	6	27
19	6	26
20	7	26
21	7	26
22	7	25
23	8	25
24	8	25
25	8	24
26	8	24
27	9	23
28	9	23
29	9	23
30	10	22
31	10	22
32	10	22
33	11	21
34	11	21
35	11	20
36	12	20
37	12	20
38	12	20
39	13	19
40	13	19
41	13	18
42	13	18
43	14	18
44	14	17
45	15	17
46	15	17
47	16	17
48	16	17
49	16	16
50	17	16
51	17	16
52	17	15
53	18	15
54	18	15
55	18	14
56	19	14
57	19	14
58	19	13
59	20	13
60	20	13
61	20	12
62	21	12
63	21	12
64	22	11
65	22	11
66	22	11
67	23	10
68	23	10
69	24	10
70	24	9
71	24	9
72	25	9
73	25	8
74	25	8
75	26	8
76	26	7
77	26	7
78	27	7
79	27	6
80	27	6
81	28	6
82	28	5
83	29	5
84	29	5
85	29	4
86	30	4
87	30	4
88	30	3
89	31	3
90	31	3
91	31	2
92	32	2
93	32	2
94	32	1
95	33	1
96	33	1
97	33	0
98	34	0
99	34	0
